CH1 PSU Output (V),CH1 PSU Output Avg (A),CH1 PSU Output Min (A),CH1 PSU Output Max (A)
PSU Output (V),PSU Output Avg (A),PSU Output Min (A),PSU Output Max (A)20:19:15,0.0,0.85,0.624,0.958
20:19:16,33.949,0.9607999999999999,0.96,0.961
20:19:17,34.003,0.961,0.961,0.961
20:19:18,34.003,0.9608000000000001,0.96,0.961
20:19:19,34.003,0.9603999999999999,0.96,0.961
20:19:20,34.004,0.9602,0.96,0.961
20:19:21,34.003,0.96,0.96,0.96
20:19:22,34.003,0.96,0.96,0.96
20:19:23,34.002,0.96,0.96,0.96
20:19:24,34.003,0.96,0.96,0.96
PSU Output (V),PSU Output Avg (A),PSU Output Min (A),PSU Output Max (A)20:19:25,34.003,0.96,0.96,0.96
20:19:26,33.995,0.96,0.96,0.96
20:19:27,33.996,0.96,0.96,0.96
20:19:28,33.996,0.96,0.96,0.96
20:19:29,33.996,0.96,0.96,0.96
20:19:30,33.996,0.96,0.96,0.96
20:19:31,33.995,0.96,0.96,0.96
20:19:32,33.995,0.96,0.96,0.96
20:19:33,33.996,0.96,0.96,0.96
20:19:35,33.996,0.96,0.96,0.96
PSU Output (V),PSU Output Avg (A),PSU Output Min (A),PSU Output Max (A)20:19:36,33.998,0.96,0.96,0.96
20:19:37,33.997,0.96,0.96,0.96
20:19:38,33.998,0.96,0.96,0.96
20:19:39,33.997,0.96,0.96,0.96
20:19:40,33.998,0.96,0.96,0.96
20:19:41,33.998,0.96,0.96,0.96
20:19:42,33.997,0.96,0.96,0.96
20:19:43,33.997,0.96,0.96,0.96
20:19:44,33.997,0.96,0.96,0.96
20:19:45,33.997,0.9596,0.959,0.96
PSU Output (V),PSU Output Avg (A),PSU Output Min (A),PSU Output Max (A)20:19:46,33.997,0.96,0.96,0.96
20:19:47,33.996,0.9597999999999999,0.959,0.96
20:19:48,33.997,0.9597999999999999,0.959,0.96
20:19:49,33.996,0.96,0.96,0.96
20:19:50,33.995,0.9596,0.959,0.96
