CH1 PSU Output (V),CH1 PSU Output Avg (A),CH1 PSU Output Min (A),CH1 PSU Output Max (A)
15:35:27,0.002,0.1964,0.0,0.255
15:35:28,33.956,0.256,0.256,0.256
15:35:29,33.992,0.256,0.256,0.256
15:35:30,33.992,0.256,0.256,0.256
15:35:31,33.993,0.256,0.256,0.256
15:35:32,33.993,0.2556,0.255,0.256
15:35:33,33.994,0.25539999999999996,0.255,0.256
15:35:34,33.992,0.255,0.255,0.255
15:35:35,33.992,0.255,0.255,0.255
15:35:36,33.991,0.2552,0.255,0.256
15:35:37,33.992,0.2554,0.255,0.256
15:35:38,33.991,0.2552,0.255,0.256
15:35:39,33.99,0.2552,0.255,0.256
15:35:40,33.991,0.25539999999999996,0.255,0.256
15:35:41,33.99,0.255,0.255,0.255
15:35:42,33.989,0.2558,0.255,0.256
15:35:43,33.99,0.256,0.256,0.256
15:35:44,33.989,0.256,0.256,0.256
15:35:45,33.988,0.256,0.256,0.256
15:35:46,33.989,0.256,0.256,0.256
15:35:47,33.988,0.256,0.256,0.256
15:35:48,33.988,0.256,0.256,0.256
15:35:49,33.988,0.256,0.256,0.256
15:35:50,33.988,0.256,0.256,0.256
15:35:51,33.988,0.256,0.256,0.256
15:35:52,33.988,0.256,0.256,0.256
15:35:54,33.987,0.256,0.256,0.256
15:35:55,33.989,0.256,0.256,0.256
15:35:56,33.989,0.256,0.256,0.256
15:35:57,33.989,0.256,0.256,0.256
15:35:58,33.988,0.256,0.256,0.256
15:35:59,33.987,0.256,0.256,0.256
15:36:0,33.987,0.256,0.256,0.256
15:36:1,33.986,0.256,0.256,0.256
15:36:2,33.987,0.256,0.256,0.256
15:36:3,33.987,0.2562,0.256,0.257
15:36:4,33.986,0.2562,0.256,0.257
15:36:5,33.986,0.2562,0.256,0.257
15:36:6,33.986,0.25680000000000003,0.256,0.257
15:36:7,33.986,0.25620000000000004,0.256,0.257
15:36:8,33.986,0.2566,0.256,0.257
15:36:9,33.986,0.25680000000000003,0.256,0.257
15:36:10,33.986,0.257,0.257,0.257
15:36:11,33.986,0.257,0.257,0.257
15:36:12,33.986,0.25680000000000003,0.256,0.257
15:36:13,33.986,0.257,0.257,0.257
15:36:14,33.986,0.257,0.257,0.257
15:36:15,33.986,0.257,0.257,0.257
15:36:16,33.986,0.257,0.257,0.257
15:36:17,33.985,0.257,0.257,0.257
15:36:18,33.985,0.257,0.257,0.257
15:36:19,33.986,0.257,0.257,0.257
15:36:20,33.986,0.257,0.257,0.257
15:36:21,33.987,0.257,0.257,0.257
15:36:22,33.987,0.257,0.257,0.257
15:36:23,33.986,0.257,0.257,0.257
15:36:24,33.985,0.257,0.257,0.257
15:36:25,33.986,0.257,0.257,0.257
15:36:26,33.986,0.25739999999999996,0.257,0.258
15:36:27,33.986,0.25739999999999996,0.257,0.258
15:36:28,33.986,0.25780000000000003,0.257,0.258
15:36:29,33.985,0.25780000000000003,0.257,0.258
15:36:30,33.985,0.25780000000000003,0.257,0.258
15:36:31,33.985,0.25780000000000003,0.257,0.258
15:36:32,33.985,0.258,0.258,0.258
15:36:33,33.985,0.258,0.258,0.258
15:36:34,33.985,0.258,0.258,0.258
15:36:35,33.985,0.258,0.258,0.258
15:36:36,33.985,0.258,0.258,0.258
15:36:37,33.985,0.258,0.258,0.258
15:36:38,33.984,0.258,0.258,0.258
15:36:39,33.984,0.258,0.258,0.258
15:36:40,33.985,0.258,0.258,0.258
15:36:41,33.984,0.258,0.258,0.258
15:36:42,33.984,0.2582,0.258,0.259
15:36:43,33.984,0.258,0.258,0.258
15:36:44,
