CH1 PSU Output (V),CH1 PSU Output Avg (A),CH1 PSU Output Min (A),CH1 PSU Output Max (A)
15:37:33,0.0,0.19519999999999998,0.019,0.258
15:37:34,33.922,0.2582,0.258,0.259
15:37:35,33.991,0.258,0.258,0.258
15:37:36,33.991,0.258,0.258,0.258
15:37:37,33.991,0.258,0.258,0.258
15:37:38,33.991,0.258,0.258,0.258
15:37:39,33.992,0.258,0.258,0.258
15:37:40,33.992,0.258,0.258,0.258
15:37:41,33.991,0.258,0.258,0.258
15:37:42,33.991,0.258,0.258,0.258
15:37:43,33.99,0.258,0.258,0.258
15:37:44,33.991,0.258,0.258,0.258
15:37:45,33.99,0.258,0.258,0.258
15:37:46,33.991,0.258,0.258,0.258
15:37:47,33.991,0.258,0.258,0.258
15:37:48,33.989,0.258,0.258,0.258
15:37:49,33.99,0.258,0.258,0.258
15:37:50,33.99,0.258,0.258,0.258
15:37:51,33.989,0.259,0.259,0.259
15:37:52,33.988,0.259,0.259,0.259
15:37:53,33.989,0.259,0.259,0.259
15:37:54,33.989,0.259,0.259,0.259
15:37:55,33.989,0.259,0.259,0.259
15:37:56,33.988,0.259,0.259,0.259
15:37:57,33.987,0.259,0.259,0.259
15:37:58,33.988,0.259,0.259,0.259
15:37:59,33.987,0.259,0.259,0.259
15:38:0,33.987,0.259,0.259,0.259
15:38:1,33.986,0.259,0.259,0.259
15:38:2,33.987,0.259,0.259,0.259
15:38:3,33.987,0.25980000000000003,0.259,0.26
15:38:4,33.988,0.26,0.26,0.26
15:38:5,33.987,0.26,0.26,0.26
15:38:6,33.987,0.26,0.26,0.26
15:38:8,33.986,0.26,0.26,0.26
15:38:9,33.987,0.26,0.26,0.26
15:38:10,33.988,0.26,0.26,0.26
15:38:11,33.987,0.26,0.26,0.26
15:38:12,33.986,0.26,0.26,0.26
15:38:13,33.986,0.2602,0.26,0.261
15:38:14,33.987,0.26,0.26,0.26
15:38:15,33.986,0.26,0.26,0.26
15:38:16,33.985,0.26080000000000003,0.26,0.261
15:38:17,33.986,0.26080000000000003,0.26,0.261
15:38:18,33.986,0.261,0.261,0.261
15:38:19,33.986,0.261,0.261,0.261
15:38:20,33.986,0.261,0.261,0.261
15:38:21,33.986,0.261,0.261,0.261
15:38:22,33.987,0.261,0.261,0.261
15:38:23,33.986,0.261,0.261,0.261
15:38:24,33.986,0.261,0.261,0.261
15:38:25,33.986,0.261,0.261,0.261
15:38:26,33.986,0.261,0.261,0.261
15:38:27,33.985,0.261,0.261,0.261
15:38:28,33.985,0.261,0.261,0.261
15:38:29,33.984,0.261,0.261,0.261
15:38:30,33.985,0.26139999999999997,0.261,0.262
15:38:31,33.985,0.262,0.262,0.262
15:38:32,33.987,0.262,0.262,0.262
15:38:33,33.986,0.262,0.262,0.262
15:38:34,33.986,0.262,0.262,0.262
15:38:35,33.985,0.262,0.262,0.262
15:38:36,33.986,0.262,0.262,0.262
15:38:37,33.985,0.262,0.262,0.262
15:38:38,33.985,0.262,0.262,0.262
15:38:39,33.985,0.262,0.262,0.262
15:38:40,33.984,0.262,0.262,0.262
15:38:41,33.984,0.262,0.262,0.262
15:38:42,33.984,0.262,0.262,0.262
15:38:43,33.985,0.26239999999999997,0.262,0.263
15:38:44,33.984,0.26280000000000003,0.262,0.263
15:38:45,33.984,0.263,0.263,0.263
15:38:46,33.984,0.263,0.263,0.263
15:38:47,33.984,0.263,0.263,0.263
15:38:48,33.984,0.263,0.263,0.263
15:38:49,33.985,0.263,0.263,0.263
15:38:50,33.985,0.263,0.263,0.263
15:38:51,33.985,0.263,0.263,0.263
15:38:52,33.984,0.263,0.263,0.263
15:38:53,33.984,0.263,0.263,0.263
15:38:54,33.983,0.263,0.263,0.263
15:38:55,33.984,0.263,0.263,0.263
15:38:56,33.984,0.263,0.263,0.263
15:38:57,33.985,0.263,0.263,0.263
15:38:58,33.985,0.263,0.263,0.263
15:38:59,33.985,0.263,0.263,0.263
15:39:0,33.986,0.263,0.263,0.263
15:39:1,33.985,0.263,0.263,0.263
15:39:2,33.986,0.263,0.263,0.263
15:39:3,33.985,0.263,0.263,0.263
15:39:4,33.985,0.263,0.263,0.263
15:39:5,33.985,0.263,0.263,0.263
15:39:6,33.985,0.263,0.263,0.263
15:39:7,33.984,0.263,0.263,0.263
15:39:8,
