CH1 PSU Output (V),CH1 PSU Output Avg (A),CH1 PSU Output Min (A),CH1 PSU Output Max (A)
15:43:12,0.0,0.20339999999999997,0.0,0.276
15:43:13,33.924,0.276,0.276,0.276
15:43:14,33.99,0.2758,0.275,0.276
15:43:15,33.99,0.276,0.276,0.276
15:43:16,33.991,0.276,0.276,0.276
15:43:17,33.99,0.276,0.276,0.276
15:43:18,33.991,0.276,0.276,0.276
15:43:19,33.991,0.276,0.276,0.276
15:43:20,33.991,0.276,0.276,0.276
15:43:21,33.991,0.276,0.276,0.276
15:43:22,33.992,0.276,0.276,0.276
15:43:23,33.992,0.276,0.276,0.276
15:43:24,33.992,0.276,0.276,0.276
15:43:25,33.991,0.276,0.276,0.276
15:43:26,33.991,0.276,0.276,0.276
15:43:27,33.99,0.276,0.276,0.276
15:43:28,33.99,0.276,0.276,0.276
15:43:29,33.99,0.276,0.276,0.276
15:43:30,33.99,0.276,0.276,0.276
15:43:31,33.99,0.276,0.276,0.276
15:43:32,33.989,0.276,0.276,0.276
15:43:33,33.989,0.276,0.276,0.276
15:43:34,33.987,0.276,0.276,0.276
15:43:35,33.987,0.276,0.276,0.276
15:43:37,33.988,0.276,0.276,0.276
15:43:38,33.987,0.276,0.276,0.276
15:43:39,33.988,0.276,0.276,0.276
15:43:40,33.987,0.276,0.276,0.276
15:43:41,33.986,0.27640000000000003,0.276,0.277
15:43:42,33.987,0.277,0.277,0.277
15:43:43,33.987,0.278,0.278,0.278
15:43:44,33.986,0.27880000000000005,0.278,0.279
15:43:45,33.986,0.2792,0.279,0.28
15:43:46,33.985,0.28,0.28,0.28
15:43:47,33.985,0.28080000000000005,0.28,0.281
15:43:48,33.986,0.2816,0.281,0.282
15:43:49,33.986,0.28219999999999995,0.282,0.283
15:43:50,33.985,0.283,0.283,0.283
15:43:51,33.986,0.28359999999999996,0.283,0.284
15:43:52,33.986,0.284,0.284,0.284
15:43:53,33.986,0.28459999999999996,0.284,0.285
15:43:54,33.986,0.2854,0.285,0.286
15:43:55,33.986,0.286,0.286,0.286
15:43:56,33.986,0.287,0.287,0.287
15:43:57,33.985,0.2872,0.287,0.288
15:43:58,33.985,0.288,0.288,0.288
15:43:59,33.985,0.28839999999999993,0.288,0.289
15:44:0,33.985,0.289,0.289,0.289
15:44:1,33.985,0.2894,0.289,0.29
15:44:2,33.984,0.29,0.29,0.29
15:44:3,33.984,0.291,0.291,0.291
15:44:4,33.983,0.291,0.291,0.291
15:44:5,33.984,0.2918,0.291,0.292
15:44:6,33.984,0.292,0.292,0.292
15:44:7,33.984,0.29279999999999995,0.292,0.293
15:44:8,33.983,0.293,0.293,0.293
15:44:9,33.984,0.2938,0.293,0.294
15:44:10,33.984,0.294,0.294,0.294
15:44:11,33.983,0.2946,0.294,0.295
15:44:12,33.983,0.295,0.295,0.295
15:44:13,33.983,0.2954,0.295,0.296
15:44:14,33.983,0.296,0.296,0.296
15:44:15,33.984,0.29679999999999995,0.296,0.297
15:44:16,33.984,0.297,0.297,0.297
15:44:17,33.985,0.29719999999999996,0.297,0.298
15:44:18,33.984,0.298,0.298,0.298
15:44:19,33.984,0.298,0.298,0.298
15:44:20,33.983,0.29879999999999995,0.298,0.299
15:44:21,33.984,0.299,0.299,0.299
15:44:22,33.984,0.299,0.299,0.299
15:44:23,33.982,0.3,0.3,0.3
15:44:24,33.983,0.3,0.3,0.3
15:44:25,33.983,0.30019999999999997,0.3,0.301
15:44:26,33.983,0.301,0.301,0.301
15:44:27,33.982,0.301,0.301,0.301
15:44:28,33.982,0.3012,0.301,0.302
15:44:29,33.982,0.3016,0.301,0.302
15:44:30,33.982,0.302,0.302,0.302
15:44:31,33.983,0.302,0.302,0.302
15:44:32,33.983,0.30219999999999997,0.302,0.303
15:44:33,33.982,0.30279999999999996,0.302,0.303
15:44:34,33.983,0.303,0.303,0.303
15:44:35,33.982,0.303,0.303,0.303
15:44:36,33.982,0.303,0.303,0.303
15:44:37,33.982,0.3036,0.303,0.304
15:44:38,33.982,0.304,0.304,0.304
15:44:39,33.982,0.304,0.304,0.304
15:44:41,33.982,0.304,0.304,0.304
15:44:42,33.982,0.304,0.304,0.304
15:44:43,33.981,0.3046,0.304,0.305
15:44:44,33.983,0.304,0.304,0.304
15:44:45,33.983,0.3046,0.304,0.305
15:44:46,33.982,0.30479999999999996,0.304,0.305
15:44:47,33.983,0.305,0.305,0.305
15:44:48,33.983,0.305,0.305,0.305
15:44:49,33.983,0.305,0.305,0.305
15:44:50,33.983,0.305,0.305,0.305
15:44:51,33.983,0.305,0.305,0.305
15:44:52,33.982,0.305,0.305,0.305
15:44:53,33.982,0.305,0.305,0.305
15:44:54,33.982,0.305,0.305,0.305
15:44:55,33.982,0.305,0.305,0.305
15:44:56,33.982,0.305,0.305,0.305
15:44:57,33.982,0.305,0.305,0.305
15:44:58,33.982,0.305,0.305,0.305
15:44:59,33.982,0.305,0.305,0.305
15:45:0,33.982,0.305,0.305,0.305
15:45:1,33.981,0.305,0.305,0.305
15:45:2,33.982,0.305,0.305,0.305
15:45:3,33.982,0.305,0.305,0.305
15:45:4,33.983,0.305,0.305,0.305
15:45:5,
