CH1 PSU Output (V),CH1 PSU Output Avg (A),CH1 PSU Output Min (A),CH1 PSU Output Max (A)
15:48:30,0.0,0.3464,0.323,0.411
15:48:31,33.931,0.323,0.323,0.323
15:48:32,33.988,0.323,0.323,0.323
15:48:33,33.988,0.323,0.323,0.323
15:48:34,33.987,0.323,0.323,0.323
15:48:35,33.987,0.323,0.323,0.323
15:48:36,33.987,0.323,0.323,0.323
15:48:37,33.987,0.323,0.323,0.323
15:48:38,33.986,0.323,0.323,0.323
15:48:39,33.986,0.323,0.323,0.323
15:48:40,33.985,0.323,0.323,0.323
15:48:41,33.986,0.3236,0.323,0.324
15:48:42,33.985,0.3236,0.323,0.324
15:48:43,33.986,0.324,0.324,0.324
15:48:44,33.985,0.324,0.324,0.324
15:48:45,33.985,0.32380000000000003,0.323,0.324
15:48:46,33.985,0.32380000000000003,0.323,0.324
15:48:48,33.985,0.324,0.324,0.324
15:48:49,33.985,0.324,0.324,0.324
15:48:50,33.985,0.324,0.324,0.324
15:48:51,33.985,0.324,0.324,0.324
15:48:52,33.985,0.3238,0.323,0.324
15:48:53,33.985,0.32380000000000003,0.323,0.324
15:48:54,33.984,0.3248,0.324,0.325
15:48:55,33.985,0.3262,0.326,0.327
15:48:56,33.984,0.3274,0.327,0.328
15:48:57,33.985,0.3286,0.328,0.329
15:48:58,33.984,0.32980000000000004,0.329,0.33
15:48:59,33.984,0.33120000000000005,0.331,0.332
15:49:0,33.984,0.3324,0.332,0.333
15:49:1,33.984,0.3336,0.333,0.334
15:49:2,33.984,0.3348,0.334,0.335
15:49:3,33.984,0.3356,0.335,0.336
15:49:4,33.983,0.3368,0.336,0.337
15:49:5,33.983,0.3382,0.338,0.339
15:49:6,33.983,0.33940000000000003,0.339,0.34
15:49:7,33.983,0.3406,0.34,0.341
15:49:8,33.982,0.342,0.341,0.343
15:49:9,33.982,0.34340000000000004,0.343,0.344
15:49:10,33.982,0.34479999999999994,0.344,0.345
15:49:11,33.984,0.3458,0.345,0.346
15:49:12,33.983,0.34719999999999995,0.347,0.348
