CH1 PSU Output (V),CH1 PSU Output Avg (A),CH1 PSU Output Min (A),CH1 PSU Output Max (A)
PSU Output (V),PSU Output Avg (A),PSU Output Min (A),PSU Output Max (A)21:43:37,0.0,1.4464,0.83,1.664
21:43:38,33.941,1.6667999999999998,1.666,1.667
21:43:39,34.004,1.6666,1.666,1.667
21:43:40,34.005,1.6670000000000003,1.667,1.667
21:43:41,34.005,1.6670000000000003,1.667,1.667
21:43:42,34.005,1.6670000000000003,1.667,1.667
21:43:43,34.005,1.6670000000000003,1.667,1.667
21:43:44,34.005,1.6670000000000003,1.667,1.667
21:43:45,34.005,1.6670000000000003,1.667,1.667
21:43:46,34.006,1.6670000000000003,1.667,1.667
PSU Output (V),PSU Output Avg (A),PSU Output Min (A),PSU Output Max (A)21:43:47,34.004,1.6682,1.668,1.669
21:43:48,33.997,1.6672,1.667,1.668
21:43:49,33.999,1.6672,1.667,1.668
21:43:50,33.999,1.6672,1.667,1.668
21:43:51,33.999,1.6674,1.667,1.668
21:43:52,33.998,1.6672,1.667,1.668
21:43:53,33.999,1.6674,1.667,1.668
21:43:54,33.998,1.6675999999999997,1.667,1.668
21:43:55,34.0,1.6678000000000002,1.667,1.668
21:43:56,34.0,1.6674,1.667,1.668
PSU Output (V),PSU Output Avg (A),PSU Output Min (A),PSU Output Max (A)21:43:57,33.999,1.6686,1.668,1.669
21:43:58,33.997,1.668,1.668,1.668
21:43:59,33.997,1.668,1.668,1.668
21:44:0,33.996,1.668,1.668,1.668
21:44:1,33.996,1.668,1.668,1.668
21:44:2,33.996,1.6675999999999997,1.667,1.668
21:44:3,33.997,1.668,1.668,1.668
21:44:4,33.996,1.668,1.668,1.668
21:44:5,33.996,1.6678000000000002,1.667,1.668
21:44:6,33.996,1.6678000000000002,1.667,1.668
PSU Output (V),PSU Output Avg (A),PSU Output Min (A),PSU Output Max (A)21:44:7,33.996,1.6667999999999998,1.661,1.669
21:44:8,33.995,1.6678000000000002,1.667,1.668
21:44:9,33.998,1.668,1.668,1.668
21:44:10,33.998,1.668,1.668,1.668
21:44:11,34.0,1.6675999999999997,1.667,1.668
21:44:12,34.0,1.6678000000000002,1.667,1.668
21:44:13,34.0,1.6675999999999997,1.667,1.668
21:44:14,33.999,1.6675999999999997,1.667,1.668
21:44:15,34.0,1.6678000000000002,1.667,1.668
21:44:16,34.0,1.668,1.668,1.668
PSU Output (V),PSU Output Avg (A),PSU Output Min (A),PSU Output Max (A)21:44:17,34.0,1.6687999999999998,1.668,1.67
21:44:18,33.996,1.668,1.668,1.668
21:44:19,33.997,1.6678000000000002,1.667,1.668
21:44:20,33.996,1.668,1.668,1.668
21:44:21,33.997,1.668,1.668,1.668
21:44:22,33.996,1.6678000000000002,1.667,1.668
21:44:23,33.996,1.6675999999999997,1.667,1.668
21:44:25,33.996,1.6678000000000002,1.667,1.668
21:44:26,33.997,1.6678000000000002,1.667,1.668
21:44:27,33.996,1.6678000000000002,1.667,1.668
PSU Output (V),PSU Output Avg (A),PSU Output Min (A),PSU Output Max (A)21:44:28,33.996,1.6682000000000001,1.664,1.67
21:44:29,
